player,team,game_date,passing_yards,rushing_yards,receiving_yards
Dak Prescott,Unknown,2022-01-16,254.0,27.0,0
Josh Allen,Unknown,2022-01-15,308.0,66.0,0
Patrick Mahomes,Unknown,2021-02-07,270.0,33.0,0
Patrick Mahomes,Unknown,2021-01-24,325.0,5.0,0
Josh Allen,Unknown,2021-01-24,287.0,88.0,0
Patrick Mahomes,Unknown,2021-01-17,255.0,14.0,0
Lamar Jackson,Unknown,2021-01-16,162.0,34.0,0
Jared Goff,Unknown,2021-01-16,174.0,6.0,0
Josh Allen,Unknown,2021-01-16,206.0,3.0,0
Lamar Jackson,Unknown,2021-01-10,179.0,136.0,0
Jared Goff,Unknown,2021-01-09,155.0,4.0,0
Josh Allen,Unknown,2021-01-09,324.0,54.0,0
Patrick Mahomes,Unknown,2020-02-02,286.0,29.0,0
Patrick Mahomes,Unknown,2020-01-19,294.0,53.0,0
Patrick Mahomes,Unknown,2020-01-12,321.0,53.0,0
Kirk Cousins,Unknown,2020-01-11,172.0,0.0,0
Lamar Jackson,Unknown,2020-01-11,365.0,143.0,0
Kirk Cousins,Unknown,2020-01-05,242.0,-1.0,0
Josh Allen,Unknown,2020-01-04,264.0,92.0,0
Jared Goff,Unknown,2019-02-03,229.0,0.0,0
Patrick Mahomes,Unknown,2019-01-20,295.0,11.0,0
Jared Goff,Unknown,2019-01-20,297.0,10.0,0
Jared Goff,Unknown,2019-01-12,186.0,12.0,0
Patrick Mahomes,Unknown,2019-01-12,278.0,8.0,0
Dak Prescott,Unknown,2019-01-12,266.0,3.0,0
Lamar Jackson,Unknown,2019-01-06,194.0,54.0,0
Dak Prescott,Unknown,2019-01-05,226.0,29.0,0
Jared Goff,Unknown,2018-01-06,259.0,0.0,0
Dak Prescott,Unknown,2017-01-15,302.0,13.0,0
Kirk Cousins,Unknown,2016-01-10,329.0,2.0,0
Kirk Cousins,Unknown,2013-01-06,31.0,0.0,0
Patrick Mahomes,Unknown,,0.0,0.0,0
Patrick Mahomes,Unknown,,0.0,0.0,0
Patrick Mahomes,Unknown,,0.0,0.0,0
Patrick Mahomes,Unknown,,0.0,0.0,0
Patrick Mahomes,Unknown,,0.0,0.0,0
Patrick Mahomes,Unknown,,0.0,0.0,0
Josh Allen,Unknown,,0.0,0.0,0
Josh Allen,Unknown,,0.0,0.0,0
Josh Allen,Unknown,,0.0,0.0,0
Josh Allen,Unknown,,0.0,0.0,0
Josh Allen,Unknown,,0.0,0.0,0
Jalen Hurts,Unknown,,0.0,0.0,0
Jalen Hurts,Unknown,,0.0,0.0,0
Jalen Hurts,Unknown,,0.0,0.0,0
Justin Herbert,Unknown,,0.0,0.0,0
